question_id,concept_text
36,"membrana plásmática"
36,"celulose"
36,"formato irregular"
36,"forma fixa"
37,"membrana plásmática"
37,"citoplasma"
37,"núcleo"
38,"células justapostas"
38,"revestimento"
38,"falta de espaço entre as células"
39,"metabolismo"
39,"transformações químicas"
39,"energia"
40,"características físicas"
40,"genética"
40,"hereditário"
40,"comportamento"
41,"genética"
41,"hereditárias"
41,"pais e filhos"
42,"epidídimo"
42,"uretra"
42,"próstata"
42,"vasos deferentes"
43,"contração diafragma"
43,"relaxamento dos músculos"
43,"entrada e saída de ar"
44,"sistema nervoso"
44,"gás carbônico"
44,"controle involuntário"
45,"leucócitos"
45,"cromossomos"
45,"núcleo"
45,"hemácias"
46,"oxigênio"
46,"gás carbônico"
46,"coração para o corpo"
46,"corpo para o coração"
47,"metabolismo"
47,"bile"
47,"transformação de substâncias"
48,"reação"
48,"imunização"
48,"anticorpos"
49,"nutrição"
49,"reguladores"
49,"energéticos"
49,"construtores"
50,"filtro"
50,"rins"
50,"limpeza"
42,"Espermatogênese"
42,"Espermiogênese"
42,"Aparelho Reprodutor Masculino"
42,"Glândulas Anexas do Aparelho Reprodutor Masculino"
