question_id,question_text
36,"Qual a diferença entre a célula animal e a célula vegetal?"
37,"Quais são as partes que compõe a célula e suas funções?"
38,"O corpo humano possui vários tipos de células que se organizam, de acordo com suas especializações e funções, formando os tecidos. Quais são as características do tecido epitelial?"
39,"Correr, estudar e dançar são atividades que necessitam de muita energia e que podemos realizar graças às nossas células que trabalham sem parar. Como chamamos o conjunto de reações químicas que ocorrem ao nível das células e como ele acontece?"
40,"Qual a diferença entre fenótipo e genótipo?"
41,"O que significa transmissão de caracteres hereditários?"
42,"“O que define o sexo na espécie humana são as características sexuais primárias, ou seja, os órgãos sexuais. Tanto os homens quanto as mulheres têm órgãos sexuais externos e internos. Quais são e quais as funções dos órgãos sexuais internos do homem?"
43,"Explique o mecanismo de inspiração e de expiração do ar no corpo humano:"
44,"Em condições normais e estando acordada uma pessoa pode suspender a respiração temporariamente ou acelerar o ritmo respiratório na hora em que desejar fazê-lo. Mas uma pessoa não consegue mesmo que queira, provocar a falta total de gás oxigênio no organismo simplesmente parando de respirar. Por quê?"
45,"Os cromossomos humanos podem ser estudados em células extraídas do sangue. Em qual das células sanguíneas deve ser feito este estudo. Por quê?"
46,"Quais são as diferenças entre veias e artérias?"
47,"Qual é a função do fígado no processo digestivo?"
48,"Apesar do avanço que a medicina vem apresentando no início do século XXI, ainda nos deparamos com grandes desafios na área da medicina preventiva. Devemos  sempre ficar atentos ao calendário de vacinas e às campanhas de vacinação.Quais são as funções das vacinas no corpo humano?"
49,"Por que é necessário comer vários tipos diferentes de alimentos?"
50,"O que a hemodiálise faz no corpo humano?"
